"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-115","Plate1A01",1,"sin1_1",NA,NA,NA,-3.25,1.05,-87.5,-291.3888057,-4.125,-0.525,-27.5,-6.265424745,1.75,0.25,0.75,-0.75,-3.25,7.75,0.0075,-2.545,1.185
"Pa-61","Plate1A02",2,"sin1_2",128.017,36.75,550,51.75,0.025,-37.5,-356.061777,29.125,0.175,-15,10.28811101,0.5,-1.13e-14,0.25,0.8,-34.75,-6.5,-2.2875,-2.8225,0.2775
"Pa-81","Plate1A03",3,"sin1_2",126.85,36.3833,30,88.99412159,-2.525,-75,-373.8207218,30.75,-0.1,-11.25,10.62975438,-2,-1.13e-14,-1,1.475,-85.75,-6,-4.3075,-1.9575,-0.2325
"Pa-80","Plate1A04",4,"sin1_2",126.683,34.7333,NA,64.27303837,-1.95,-125,-180.1367548,29.875,0.1125,-32.5,12.01244016,-1.45e-14,-1.13e-14,1.52e-14,0.175,-95.25,0.75,-5.0475,-1.895,-0.18
"Pa-26","Plate1A05",5,"sin1_1",137.725,36.141,1320,65.75,-1.55,-37.5,-139.6740564,24.375,0.55,18.75,3.062388725,-1.44e-14,-1.13e-14,1.52e-14,2.1,-4.5,-11,-1.1225,-2.475,-0.6975
"Pa-164","Plate1A06",6,"sin1_1",NA,NA,NA,9.25,-0.2,-62.5,-386.228131,25.375,-0.7375,12.5,-7.398974805,-1.45e-14,0.5,-0.25,-0.1,25.75,-5.25,1.68,-2.78,0.775
"Pa-88","Plate1A07",7,"sin1_2",129.417,36.4667,NA,94.75,-1.825,-62.5,-26.3452031,35.875,-0.075,-11.25,14.0153105,0.125,0.125,1.52e-14,0.675,-61.25,3.75,-3.745,-3.9375,0.7
"Pa-8","Plate1A08",8,"sin1_1",140.74,38.4005,500,20.00195947,-0.7,12.5,549.3794554,12.5,0.025,-1.299937457,0.067265282,1.875,0.375,0.75,1.163520808,18.52166361,-3.75,-0.11,-2.6525,0.6925
"Pa-30","Plate1A09",9,"sin1_1",138.664,36.554,700,35.75,-1.35,-25,619.4331515,17.125,0.1,18.75,2.618393917,0.5,0.5,1.52e-14,0.925,22,3.25,-1.425,-2.8975,0.5475
"Pa-222","Plate1A10",10,"sin1_2",128.15,36.9667,50,47,-0.4,-2.7e-12,-247.9299971,19.125,-0.1,-32.5,6.256403197,1.375,0.375,0.5,0.65,-64.25,-3.25,0.0075,-3.99,0.4975
"Pa-195","Plate1A11",11,"sin1_1",NA,NA,NA,11.25,0.5,-2.68e-12,-8.0075888,-1.375,-0.1,-17.5,-5.991175328,0.375,0.375,1.53e-14,0.225,-14,-2,-1.07,0.0125,-0.5475
"Pa-40","Plate1A12",12,"sin1_1",132.061,34.772,200,53.75,-1.3,-75,55.69860108,25.625,-0.2,8.75,1.847345372,-0.875,0.125,-0.5,1.3,-17,-2.75,-2.1,-3.0125,0.555
"Pa-50","Plate1B01",13,"sin1_2",128.467,37.9667,510,41.25,0.3,-37.5,-93.85039857,19.375,-0.7,3.75,4.234785787,-1.25,0.25,-0.75,-0.875,-15.25,10.75,-1.82,-3.9775,0.435
